rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
74,frame_0081.jpg,32.4,0.5269,0.5086,0.4286,0.72,11,3,False,False
75,frame_0128.jpg,51.2,0.5268,0.5461,0.2857,0.84,12,2,False,False
76,frame_0284.jpg,113.6,0.5262,0.5712,0.4286,0.56,10,3,False,False
77,frame_0322.jpg,128.8,0.521,0.7209,0.4286,0.16,10,3,False,False
78,frame_0080.jpg,32.0,0.5205,0.4798,0.4286,0.76,11,3,False,False
79,frame_0130.jpg,52.0,0.5205,0.5015,0.2857,0.92,12,2,False,False
80,frame_0210.jpg,84.0,0.519,0.5945,0.2857,0.68,7,2,False,False
81,frame_0132.jpg,52.8,0.5159,0.4603,0.2857,1.0,11,2,False,False
82,frame_0318.jpg,127.2,0.514,0.7606,0.2857,0.24,13,2,False,False
83,frame_0179.jpg,71.6,0.5118,0.7184,0.4286,0.12,10,3,False,False
84,frame_0393.jpg,157.2,0.5117,0.5788,0.7143,0.04,12,5,False,False
85,frame_0193.jpg,77.2,0.5098,0.6664,0.4286,0.24,7,3,False,False
86,frame_0277.jpg,110.8,0.5084,0.6476,0.4286,0.28,11,3,False,False
87,frame_0329.jpg,131.6,0.5057,0.5508,0.7143,0.08,14,5,False,False
88,frame_0298.jpg,119.2,0.5052,0.615,0.2857,0.56,7,2,False,False
89,frame_0188.jpg,75.2,0.5027,0.7322,0.4286,0.04,16,3,False,False
90,frame_0280.jpg,112.0,0.5006,0.4983,0.5714,0.4,10,4,False,False
91,frame_0279.jpg,111.6,0.4986,0.6817,0.2857,0.36,10,2,False,False
92,frame_0225.jpg,90.0,0.4955,0.7019,0.4286,0.08,13,3,False,False
93,frame_0177.jpg,70.8,0.4954,0.6536,0.4286,0.2,10,3,False,False
94,frame_0072.jpg,28.8,0.4918,0.4979,0.1429,1.0,13,1,False,False
95,frame_0306.jpg,122.4,0.4907,0.6282,0.4286,0.24,10,3,False,False
96,frame_0114.jpg,45.6,0.4894,0.6954,0.2857,0.28,13,2,False,False
97,frame_0324.jpg,129.6,0.4893,0.5181,0.7143,0.08,12,5,False,False
98,frame_0296.jpg,118.4,0.4834,0.625,0.1429,0.64,9,1,False,False
99,frame_0315.jpg,126.0,0.4812,0.5716,0.5714,0.12,10,4,False,False
100,frame_0022.jpg,8.8,0.4808,0.3901,0.2857,1.0,9,2,False,False
101,frame_0267.jpg,106.8,0.4801,0.655,0.4286,0.12,6,3,False,False
102,frame_0015.jpg,6.0,0.4792,0.5583,0.0,1.0,7,0,False,False
103,frame_0388.jpg,155.2,0.4774,0.548,0.5714,0.16,10,4,False,False
104,frame_0333.jpg,133.2,0.477,0.6649,0.4286,0.08,14,3,False,False
105,frame_0316.jpg,126.4,0.4765,0.5461,0.5714,0.16,11,4,False,False
106,frame_0178.jpg,71.2,0.4762,0.5456,0.5714,0.16,14,4,False,False
107,frame_0301.jpg,120.4,0.4761,0.6904,0.1429,0.44,11,1,False,False
108,frame_0308.jpg,123.2,0.4755,0.7156,0.2857,0.16,10,2,False,False
109,frame_0370.jpg,148.0,0.4749,0.591,0.5714,0.04,13,4,False,False
110,frame_0185.jpg,74.0,0.4723,0.6555,0.4286,0.08,13,3,False,False
111,frame_0229.jpg,91.6,0.4708,0.5668,0.5714,0.08,10,4,False,False
112,frame_0089.jpg,35.6,0.4704,0.695,0.1429,0.4,10,1,False,False
113,frame_0292.jpg,116.8,0.4703,0.4492,0.2857,0.8,11,2,False,False
114,frame_0223.jpg,89.2,0.4688,0.6164,0.4286,0.16,13,3,False,False
115,frame_0121.jpg,48.4,0.4643,0.5331,0.2857,0.56,11,2,False,False
116,frame_0068.jpg,27.2,0.4639,0.3564,0.2857,1.0,11,2,False,False
117,frame_0078.jpg,31.2,0.463,0.4185,0.2857,0.84,10,2,False,False
118,frame_0190.jpg,76.0,0.4587,0.5266,0.5714,0.12,8,4,False,False
119,frame_0070.jpg,28.0,0.457,0.514,0.0,1.0,12,0,False,False
120,frame_0397.jpg,158.8,0.4566,0.4903,0.5714,0.2,14,4,False,False
121,frame_0232.jpg,92.8,0.4559,0.5747,0.4286,0.2,13,3,False,False
122,frame_0294.jpg,117.6,0.4545,0.5352,0.1429,0.72,8,1,False,False
123,frame_0171.jpg,68.4,0.4537,0.4743,0.4286,0.44,9,3,False,False
124,frame_0268.jpg,107.2,0.4525,0.7015,0.2857,0.08,8,2,False,False
125,frame_0377.jpg,150.8,0.4523,0.5995,0.4286,0.12,17,3,False,False
126,frame_0287.jpg,114.8,0.4518,0.4602,0.2857,0.68,8,2,False,False
127,frame_0125.jpg,50.0,0.4481,0.4367,0.2857,0.72,13,2,False,False
128,frame_0303.jpg,121.2,0.4476,0.494,0.4286,0.36,11,3,False,False
129,frame_0103.jpg,41.2,0.4471,0.573,0.4286,0.16,9,3,False,False
130,frame_0395.jpg,158.0,0.445,0.6706,0.2857,0.12,10,2,False,False
131,frame_0123.jpg,49.2,0.4449,0.4624,0.2857,0.64,12,2,False,False
132,frame_0083.jpg,33.2,0.4431,0.373,0.4286,0.64,8,3,False,False
133,frame_0027.jpg,10.8,0.4421,0.3127,0.2857,1.0,10,2,False,False
134,frame_0180.jpg,72.0,0.4359,0.5826,0.4286,0.08,13,3,False,False
135,frame_0175.jpg,70.0,0.4356,0.5021,0.4286,0.28,11,3,False,False
136,frame_0305.jpg,122.0,0.4347,0.6716,0.1429,0.28,14,1,False,False
137,frame_0314.jpg,125.6,0.4331,0.6627,0.2857,0.08,8,2,False,False
138,frame_0207.jpg,82.8,0.4326,0.3738,0.2857,0.8,7,2,False,False
139,frame_0374.jpg,149.6,0.432,0.6126,0.2857,0.2,13,2,False,False
140,frame_0097.jpg,38.8,0.4316,0.4884,0.5714,0.08,10,4,False,False
141,frame_0288.jpg,115.2,0.4314,0.489,0.1429,0.72,11,1,False,False
142,frame_0383.jpg,153.2,0.4313,0.5574,0.4286,0.12,18,3,False,False
143,frame_0127.jpg,50.8,0.4275,0.3635,0.2857,0.8,10,2,False,False
144,frame_0278.jpg,111.2,0.4269,0.5543,0.2857,0.32,10,2,False,False
145,frame_0211.jpg,84.4,0.4266,0.4257,0.2857,0.64,6,2,False,False
146,frame_0086.jpg,34.4,0.4238,0.4682,0.2857,0.52,9,2,False,False
147,frame_0384.jpg,153.6,0.4237,0.5263,0.4286,0.16,15,3,False,False
148,frame_0105.jpg,42.0,0.4235,0.5579,0.4286,0.08,14,3,False,False
149,frame_0202.jpg,80.8,0.4235,0.4356,0.2857,0.6,5,2,False,False
150,frame_0226.jpg,90.4,0.4231,0.573,0.4286,0.04,12,3,False,False
151,frame_0120.jpg,48.0,0.4225,0.4656,0.2857,0.52,12,2,False,False
152,frame_0181.jpg,72.4,0.4181,0.5631,0.4286,0.04,14,3,False,False
